"company","max_price","hour"
"BYND","37.804901123046875","09"
"BYND","37.9900016784668","10"
"BYND","37.59000015258789","11"
"BYND","37.33000183105469","12"
"BYND","36.56999969482422","13"
"BYND","36.95000076293945","14"
"BYND","38.33000183105469","15"
"BYND","22.940000534057617","16"
"DDOG","123.33999633789062","09"
"DDOG","122.57890319824219","10"
"DDOG","118.99320220947266","11"
"DDOG","120.70999908447266","12"
"DDOG","118.52649688720703","13"
"DDOG","118.30999755859375","14"
"DDOG","120.6500015258789","15"
"DDOG","85.80999755859375","16"
"FB","210.72999572753906","09"
"FB","210.86000061035156","10"
"FB","209.42999267578125","11"
"FB","207.57000732421875","12"
"FB","204.80999755859375","13"
"FB","205.38999938964844","14"
"FB","211.8800048828125","15"
"FB","181.27999877929688","16"
"NFLX","198.60000610351562","09"
"NFLX","200.21409606933594","10"
"NFLX","199.44979858398438","11"
"NFLX","199.4398956298828","12"
"NFLX","196.08999633789062","13"
"NFLX","196.5998992919922","14"
"NFLX","199.66000366210938","15"
"NFLX","180.33999633789062","16"
"OKTA","123.3499984741211","09"
"OKTA","123.31999969482422","10"
"OKTA","121.76000213623047","11"
"OKTA","123.84500122070312","12"
"OKTA","121.69509887695312","13"
"OKTA","121.87999725341797","14"
"OKTA","124.00499725341797","15"
"OKTA","78.86000061035156","16"
"PINS","21.239999771118164","09"
"PINS","21.364999771118164","10"
"PINS","21.40999984741211","11"
"PINS","21.399999618530273","12"
"PINS","21.219999313354492","13"
"PINS","21.489999771118164","14"
"PINS","22.274999618530273","15"
"PINS","17.25","16"
"SHOP","451.0","09"
"SHOP","448.4200134277344","10"
"SHOP","446.1000061035156","11"
"SHOP","445.989990234375","12"
"SHOP","440.2049865722656","13"
"SHOP","439.5198974609375","14"
"SHOP","454.1400146484375","15"
"SHOP","324.8399963378906","16"
"SNAP","29.540000915527344","09"
"SNAP","29.440000534057617","10"
"SNAP","29.235000610351562","11"
"SNAP","29.440000534057617","12"
"SNAP","28.969999313354492","13"
"SNAP","29.014999389648438","14"
"SNAP","29.540000915527344","15"
"SNAP","12.789999961853027","16"
"SQ","103.06990051269531","09"
"SQ","103.27899932861328","10"
"SQ","102.43990325927734","11"
"SQ","104.21990203857422","12"
"SQ","102.37000274658203","13"
"SQ","102.9749984741211","14"
"SQ","105.97000122070312","15"
"SQ","75.87999725341797","16"
"TTD","61.224998474121094","09"
"TTD","61.349998474121094","10"
"TTD","60.63999938964844","11"
"TTD","60.97990036010742","12"
"TTD","59.939998626708984","13"
"TTD","60.279998779296875","14"
"TTD","62.119998931884766","15"
"TTD","42.779998779296875","16"
